mass_msun,snr_full_window,ratio_true_at_t0,start_M,trials,strong_fraction_dBIC_gt_10,positive_fraction_dBIC_gt_0,median_delta_bic,p10_delta_bic,p90_delta_bic,median_ratio_rec
60.0,20.0,0.2,20.0,100,0.44,0.82,7.959042488816195,-3.0761893243941035,23.263539361497526,0.20102694075161548
60.0,20.0,0.3,0.0,100,0.87,1.0,34.29036765390953,8.38456354501326,57.707040633094646,0.29942837707574444
60.0,20.0,0.3,10.0,100,0.85,0.99,28.909136620678575,6.545593366682873,49.07522381662281,0.2998267564554352
60.0,20.0,0.3,20.0,100,0.79,0.99,25.032781936273696,4.598855906310899,44.36207161875679,0.299290318343765
60.0,30.0,0.0,0.0,100,0.0,0.0,-12.881515010851444,-13.95413882091218,-9.873877520167732,0.03396582515033621
60.0,30.0,0.0,10.0,100,0.0,0.0,-12.931722511093199,-13.941191595329968,-10.012821692044894,0.0356124336249109
60.0,30.0,0.0,20.0,100,0.0,0.0,-12.720910756859325,-13.91464997764025,-9.671952954602092,0.03862701388142237
60.0,30.0,0.02,0.0,100,0.0,0.0,-12.377242967364676,-13.90115202905079,-8.19973581577653,0.03900694601102794
60.0,30.0,0.02,10.0,100,0.0,0.0,-12.343571036616949,-13.882853885119719,-7.984749148132093,0.03972076120875688
60.0,30.0,0.02,20.0,100,0.0,0.0,-12.346270063850505,-13.883910032612434,-8.098341652404433,0.041739160478031895
60.0,30.0,0.05,0.0,100,0.0,0.0,-9.829478388348892,-13.331266683731662,-2.2653430835414674,0.0533706032832439
60.0,30.0,0.05,10.0,100,0.0,0.0,-9.997484145162288,-13.379586370116789,-2.841464624437652,0.05231039821243175
60.0,30.0,0.05,20.0,100,0.0,0.0,-9.894942586937008,-13.298686699725212,-2.822435603277464,0.05374508433915868
60.0,30.0,0.1,0.0,100,0.32,0.66,2.822285554860737,-6.621856933132082,16.07654009405546,0.0972352246911426
60.0,30.0,0.1,10.0,100,0.2,0.48,-0.9976482063186431,-8.423449464296282,11.791215902031873,0.09832138395243584
60.0,30.0,0.1,20.0,100,0.15,0.5,-0.9729369296611872,-8.605449921376887,11.847182634973296,0.09967543539930188
60.0,30.0,0.2,0.0,100,0.95,1.0,48.629923992678316,23.658772773021166,72.42408273334586,0.20026025177146567
60.0,30.0,0.2,10.0,100,0.9,1.0,40.088348427535366,19.83184646600323,62.07772475035816,0.20192679294607782
60.0,30.0,0.2,20.0,100,0.9,1.0,35.57705479003395,18.301894555693316,57.96983394806927,0.19897021577974593
60.0,30.0,0.3,0.0,100,1.0,1.0,98.73810364337272,63.555810241297236,138.92435644246555,0.30339951844819747
60.0,30.0,0.3,10.0,100,0.99,1.0,78.92193169560157,48.92398673230585,113.70772946057392,0.29967761774339065
60.0,30.0,0.3,20.0,100,0.98,1.0,72.43413111474618,45.78891787706749,102.03084162704778,0.30316483039769854
60.0,40.0,0.0,0.0,100,0.0,0.0,-12.481123195587998,-13.926763866424255,-8.985314339475852,0.028604980403149267
60.0,40.0,0.0,10.0,100,0.0,0.0,-12.085088879416617,-13.870310613948507,-7.928484951812537,0.030191361512303063
60.0,40.0,0.0,20.0,100,0.0,0.0,-12.314272322965849,-13.891669909966894,-8.724071229936348,0.03172570174264289
60.0,40.0,0.02,0.0,100,0.0,0.0,-11.572089992739359,-13.813221512861029,-5.810280628386298,0.03225951140462022
60.0,40.0,0.02,10.0,100,0.0,0.0,-11.699750673820907,-13.837160283733612,-6.427972946869709,0.03376738256604009
60.0,40.0,0.02,20.0,100,0.0,0.0,-11.620994778061357,-13.79605052813125,-6.334025153447748,0.03453270388667876
60.0,40.0,0.05,0.0,100,0.02,0.15,-5.62908674269078,-11.12903268179125,1.500965436071042,0.05184783551483976
60.0,40.0,0.05,10.0,100,0.01,0.13,-6.096115365743998,-11.609633199185609,0.590261558821689,0.05224229593671946
60.0,40.0,0.05,20.0,100,0.01,0.12,-6.606715323488581,-11.809649347591793,-0.2609728950196189,0.05191353997541331
60.0,40.0,0.1,0.0,100,0.68,0.98,16.567407814163767,4.051842057365689,31.837360140226075,0.10010087103545014
60.0,40.0,0.1,10.0,100,0.55,0.91,11.473838093898655,0.42610300434385735,28.01221863148049,0.09977087781443907
60.0,40.0,0.1,20.0,100,0.48,0.9,9.070827834079774,-1.573987931240348,23.069445420627583,0.09898958236149069
60.0,40.0,0.2,0.0,100,1.0,1.0,99.73865807001556,64.95801557197732,134.07462622117073,0.1989094425796755
60.0,40.0,0.2,10.0,100,1.0,1.0,81.85382506227433,51.902512049581855,114.60583794931502,0.19871278697371527
60.0,40.0,0.2,20.0,100,0.98,1.0,73.66090385377021,45.130006916552055,105.6446586050034,0.19945852136664555
60.0,40.0,0.3,0.0,100,1.0,1.0,177.18237151454515,125.19820424371468,228.64073008993462,0.2999429920125818
60.0,40.0,0.3,10.0,100,1.0,1.0,143.93405230786714,99.14239846643599,189.16524620466263,0.30029744886750316
60.0,40.0,0.3,20.0,100,1.0,1.0,127.50865661978468,88.932489508117,169.5592970882057,0.29767035421902385
100.0,12.0,0.0,0.0,100,0.0,0.0,-13.083122868726832,-14.009107367808893,-10.508270156276652,0.0879743121395609
100.0,12.0,0.0,10.0,100,0.0,0.0,-12.84293097841703,-13.99313411210084,-9.665842467278239,0.09055768926359997
100.0,12.0,0.0,20.0,100,0.0,0.0,-12.949642158126949,-13.986007456750242,-9.864733274246281,0.09688197568046445
100.0,12.0,0.02,0.0,100,0.0,0.0,-12.605017807021254,-13.932354246418915,-8.370220370001162,0.09196509840442244
100.0,12.0,0.02,10.0,100,0.0,0.0,-12.53736940186685,-13.917213991410283,-8.225356254361172,0.09453196283959025
100.0,12.0,0.02,20.0,100,0.0,0.0,-12.439285980503408,-13.884848524160651,-7.89329815740944,0.10080213345986791
100.0,12.0,0.05,0.0,100,0.0,0.0,-11.55833502760691,-13.700527603760262,-5.203134008678188,0.10567576591290645
100.0,12.0,0.05,10.0,100,0.0,0.0,-11.492606619264933,-13.64993690901331,-5.284045309821191,0.10866009717098719
100.0,12.0,0.05,20.0,100,0.0,0.0,-11.25624996457775,-13.599692691757178,-4.513701894416134,0.11496060995339558
100.0,12.0,0.1,0.0,100,0.0,0.03,-8.842436048494497,-12.965810167125803,-2.0602973044640044,0.11774205957565113
100.0,12.0,0.1,10.0,100,0.0,0.03,-8.690563437901346,-13.01430940825958,-1.8064461261617403,0.12157034362228915
100.0,12.0,0.1,20.0,100,0.0,0.04,-8.125341586490562,-12.834262720203877,-1.0221185457579797,0.12612296854700924
100.0,12.0,0.2,0.0,100,0.04,0.44,-1.836898311825088,-10.288881952504378,7.068564881210874,0.20580423374454798
100.0,12.0,0.2,10.0,100,0.04,0.46,-1.480753545558423,-10.053040243287763,6.464440106404958,0.21090598686774945
100.0,12.0,0.2,20.0,100,0.05,0.49,-0.6685003635089681,-9.518212444356738,7.8553822425287155,0.2188703164178641
100.0,12.0,0.3,0.0,100,0.38,0.81,5.716628129327873,-5.852618495178962,21.3142321986224,0.3055471586139616
100.0,12.0,0.3,10.0,100,0.42,0.85,6.48021127925901,-5.199037932811338,21.295982671642585,0.3124154796164943
100.0,12.0,0.3,20.0,100,0.45,0.86,7.580560582448597,-4.227328878653619,22.862346597179903,0.32637497094608695
100.0,20.0,0.0,0.0,100,0.0,0.0,-12.74698531682634,-13.967825745077694,-9.03457324849965,0.053467581521812735
100.0,20.0,0.0,10.0,100,0.0,0.0,-12.866415930517064,-13.955591563750556,-9.453004896096139,0.056522134741739895
100.0,20.0,0.0,20.0,100,0.0,0.0,-12.634226115103502,-13.918248163457547,-8.584760332642477,0.05807924769878355
100.0,20.0,0.02,0.0,100,0.0,0.0,-12.191933031748296,-13.849672381383726,-7.15356794931455,0.0579804250791999
100.0,20.0,0.02,10.0,100,0.0,0.0,-12.103255502068069,-13.809239879355898,-7.074552216356156,0.060446833461856
100.0,20.0,0.02,20.0,100,0.0,0.0,-11.896446037012958,-13.793135541344938,-6.487307223622742,0.06333917018774144
100.0,20.0,0.05,0.0,100,0.0,0.0,-10.55301593399035,-13.4309278260898,-4.0162173224047,0.07157204384877079
100.0,20.0,0.05,10.0,100,0.0,0.0,-10.497695314387827,-13.383659550705404,-3.858086068476616,0.07430232098279924
100.0,20.0,0.05,20.0,100,0.0,0.0,-10.096017851338308,-13.284613352060054,-3.3153925186616155,0.07778349374131415
100.0,20.0,0.1,0.0,100,0.01,0.19,-5.102673782315647,-11.152927990865585,1.8321873644399726,0.1034744897013176
100.0,20.0,0.1,10.0,100,0.02,0.2,-4.877827637890498,-11.034333833625232,1.8411406066863395,0.1062271971143462
100.0,20.0,0.1,20.0,100,0.01,0.21,-4.481435222961577,-10.753990374055508,2.5879987706298346,0.1106644451550954
100.0,20.0,0.2,0.0,100,0.5,0.91,11.575997066750892,-0.31057232452670693,28.791662157236338,0.20177378877376594
